<id_zik11d_88c_ehg9uq>	<A>	rdf:type	<wikicategory_Vowel_letters>	
<id_zik11d_88c_w3c6wm>	<A>	rdf:type	<wikicategory_ISO_basic_Latin_letters>	
<id_1bsrlah_88c_1nmgaf0>	<Alabama>	rdf:type	<wikicategory_States_of_the_Confederate_States_of_America>	
<id_1bsrlah_88c_1s6g79w>	<Alabama>	rdf:type	<wikicategory_States_of_the_United_States>	
<id_1bsrlah_88c_r34uav>	<Alabama>	rdf:type	<wikicategory_States_and_territories_established_in_1819>	
<id_1bsrlah_88c_yg98e5>	<Alabama>	rdf:type	<wikicategory_States_of_the_Southern_United_States>	
<id_3ienox_88c_4retae>	<Achilles>	rdf:type	<wikicategory_People_of_the_Trojan_War>	
<id_3ienox_88c_1rk49a2>	<Achilles>	rdf:type	<wikicategory_Pederastic_heroes_and_deities>	
<id_3ienox_88c_s57m6o>	<Achilles>	rdf:type	<wikicategory_Kings_of_the_Myrmidons>	
<id_4kij9g_88c_99ehia>	<Abraham_Lincoln>	rdf:type	<wikicategory_People_from_Spencer_County,_Indiana>	
<id_4kij9g_88c_8yx99j>	<Abraham_Lincoln>	rdf:type	<wikicategory_Union_political_leaders>	
<id_4kij9g_88c_1u2yh12>	<Abraham_Lincoln>	rdf:type	<wikicategory_Republican_Party_Presidents_of_the_United_States>	
<id_4kij9g_88c_z6q25x>	<Abraham_Lincoln>	rdf:type	<wikicategory_People_from_Springfield,_Illinois>	
<id_4kij9g_88c_1hovxaj>	<Abraham_Lincoln>	rdf:type	<wikicategory_Assassinated_United_States_Presidents>	
<id_4kij9g_88c_1x1170s>	<Abraham_Lincoln>	rdf:type	<wikicategory_Illinois_lawyers>	
<id_4kij9g_88c_1pa6xx6>	<Abraham_Lincoln>	rdf:type	<wikicategory_People_of_Illinois_in_the_American_Civil_War>	
<id_4kij9g_88c_1ah5kjs>	<Abraham_Lincoln>	rdf:type	<wikicategory_American_people_of_Welsh_descent>	
<id_4kij9g_88c_1xk331r>	<Abraham_Lincoln>	rdf:type	<wikicategory_People_from_Coles_County,_Illinois>	
<id_4kij9g_88c_p7y31p>	<Abraham_Lincoln>	rdf:type	<wikicategory_People_of_the_Black_Hawk_War>	
<id_4kij9g_88c_11pwcl>	<Abraham_Lincoln>	rdf:type	<wikicategory_American_people_of_English_descent>	
<id_4kij9g_88c_xmv7h4>	<Abraham_Lincoln>	rdf:type	<wikicategory_People_murdered_in_Washington,_D.C.>	
<id_4kij9g_88c_5fo22o>	<Abraham_Lincoln>	rdf:type	<wikicategory_Postmasters>	
<id_4kij9g_88c_hp7z9f>	<Abraham_Lincoln>	rdf:type	<wikicategory_Presidents_of_the_United_States>	
<id_4kij9g_88c_1xkqbr5>	<Abraham_Lincoln>	rdf:type	<wikicategory_People_from_LaRue_County,_Kentucky>	
<id_4kij9g_88c_vafydj>	<Abraham_Lincoln>	rdf:type	<wordnet_officeholder_110371450>	
<id_4kij9g_88c_16cy2gf>	<Abraham_Lincoln>	rdf:type	<wikicategory_People_from_Macon_County,_Illinois>	
<id_1rii7g7_88c_mi6je9>	<Aristotle>	rdf:type	<wikicategory_Rhetoric_theorists>	
<id_1rii7g7_88c_1lcsiy8>	<Aristotle>	rdf:type	<wikicategory_Philosophers_of_language>	
<id_1rii7g7_88c_i76981>	<Aristotle>	rdf:type	<wikicategory_Political_philosophers>	
<id_1rii7g7_88c_myyslk>	<Aristotle>	rdf:type	<wikicategory_Philosophers_and_tutors_of_Alexander_the_Great>	
<id_1rii7g7_88c_xbyshi>	<Aristotle>	rdf:type	<wikicategory_Defenders_of_slavery>	
<id_1rii7g7_88c_pac5xm>	<Aristotle>	rdf:type	<wikicategory_Philosophers_of_law>	
<id_1rii7g7_88c_2gpczg>	<Aristotle>	rdf:type	<wikicategory_Philosophers_of_ancient_Chalcidice>	
<id_1rii7g7_88c_va8ann>	<Aristotle>	rdf:type	<wikicategory_Trope_theorists>	
<id_1rii7g7_88c_19glx3g>	<Aristotle>	rdf:type	<wikicategory_Ancient_Greek_physicists>	
<id_1rii7g7_88c_1abpmpv>	<Aristotle>	rdf:type	<wikicategory_Empiricists>	
<id_1rii7g7_88c_11447xm>	<Aristotle>	rdf:type	<wikicategory_Metic_philosophers_in_Classical_Athens>	
<id_1rii7g7_88c_92d66t>	<Aristotle>	rdf:type	<wikicategory_Greek_biologists>	
<id_1rii7g7_88c_vzdz2d>	<Aristotle>	rdf:type	<wikicategory_Natural_philosophers>	
<id_1rii7g7_88c_2k9azu>	<Aristotle>	rdf:type	<wikicategory_Philosophers_of_mind>	
<id_1rii7g7_88c_obh5ho>	<Aristotle>	rdf:type	<wikicategory_Attic_Greek_writers>	
<id_1rii7g7_88c_1xrzeut>	<Aristotle>	rdf:type	<wikicategory_Cosmologists>	
<id_1rii7g7_88c_6ent3l>	<Aristotle>	rdf:type	<wikicategory_Ancient_Greek_mathematicians>	
<id_1rii7g7_88c_10w3pn9>	<Aristotle>	rdf:type	<wikicategory_Ancient_Greek_philosophers>	
<id_1rii7g7_88c_vdsf7f>	<Aristotle>	rdf:type	<wikicategory_4th-century_BC_philosophers>	
<id_1rii7g7_88c_l2tvyj>	<Aristotle>	rdf:type	<wikicategory_Greek_logicians>	
<id_1rii7g7_88c_f1sf8e>	<Aristotle>	rdf:type	<wikicategory_Humor_researchers>	
<id_1rii7g7_88c_w358i8>	<Aristotle>	rdf:type	<wikicategory_Beekeepers>	
<id_1rii7g7_88c_smewdv>	<Aristotle>	rdf:type	<wikicategory_Virtue_ethicists>	
